"tensor(0.9770, device='cuda:0')",tensor([-2.7059])
"tensor(0.9780, device='cuda:0')",tensor([-2.6275])
"tensor(0.9789, device='cuda:0')",tensor([-2.5490])
"tensor(0.9798, device='cuda:0')",tensor([-2.4706])
"tensor(0.9807, device='cuda:0')",tensor([-2.3922])
"tensor(0.9815, device='cuda:0')",tensor([-2.3137])
"tensor(0.9823, device='cuda:0')",tensor([-2.2353])
"tensor(0.9831, device='cuda:0')",tensor([-2.1569])
"tensor(0.9838, device='cuda:0')",tensor([-2.0784])
"tensor(0.9844, device='cuda:0')",tensor([-2.])
"tensor(0.9851, device='cuda:0')",tensor([-1.9216])
"tensor(0.9857, device='cuda:0')",tensor([-1.8431])
"tensor(0.9863, device='cuda:0')",tensor([-1.7647])
"tensor(0.9868, device='cuda:0')",tensor([-1.6863])
"tensor(0.9874, device='cuda:0')",tensor([-1.6078])
"tensor(0.9878, device='cuda:0')",tensor([-1.5294])
"tensor(0.9883, device='cuda:0')",tensor([-1.4510])
"tensor(0.9887, device='cuda:0')",tensor([-1.3725])
"tensor(0.9891, device='cuda:0')",tensor([-1.2941])
"tensor(0.9895, device='cuda:0')",tensor([-1.2157])
"tensor(0.9899, device='cuda:0')",tensor([-1.1373])
"tensor(0.9902, device='cuda:0')",tensor([-1.0588])
"tensor(0.9905, device='cuda:0')",tensor([-0.9804])
"tensor(0.9908, device='cuda:0')",tensor([-0.9020])
"tensor(0.9911, device='cuda:0')",tensor([-0.8235])
"tensor(0.9913, device='cuda:0')",tensor([-0.7451])
"tensor(0.9915, device='cuda:0')",tensor([-0.6667])
"tensor(0.9917, device='cuda:0')",tensor([-0.5882])
"tensor(0.9919, device='cuda:0')",tensor([-0.5098])
"tensor(0.9920, device='cuda:0')",tensor([-0.4314])
"tensor(0.9921, device='cuda:0')",tensor([-0.3529])
"tensor(0.9922, device='cuda:0')",tensor([-0.2745])
"tensor(0.9923, device='cuda:0')",tensor([-0.1961])
"tensor(0.9924, device='cuda:0')",tensor([-0.1176])
"tensor(0.9924, device='cuda:0')",tensor([-0.0392])
"tensor(0.9924, device='cuda:0')",tensor([0.0392])
"tensor(0.9924, device='cuda:0')",tensor([0.1176])
"tensor(0.9924, device='cuda:0')",tensor([0.1961])
"tensor(0.9923, device='cuda:0')",tensor([0.2745])
"tensor(0.9923, device='cuda:0')",tensor([0.3529])
"tensor(0.9922, device='cuda:0')",tensor([0.4314])
"tensor(0.9921, device='cuda:0')",tensor([0.5098])
"tensor(0.9919, device='cuda:0')",tensor([0.5882])
"tensor(0.9918, device='cuda:0')",tensor([0.6667])
"tensor(0.9916, device='cuda:0')",tensor([0.7451])
"tensor(0.9914, device='cuda:0')",tensor([0.8235])
"tensor(0.9912, device='cuda:0')",tensor([0.9020])
"tensor(0.9909, device='cuda:0')",tensor([0.9804])
"tensor(0.9906, device='cuda:0')",tensor([1.0588])
"tensor(0.9903, device='cuda:0')",tensor([1.1373])
"tensor(0.9900, device='cuda:0')",tensor([1.2157])
"tensor(0.9896, device='cuda:0')",tensor([1.2941])
"tensor(0.9893, device='cuda:0')",tensor([1.3725])
"tensor(0.9888, device='cuda:0')",tensor([1.4510])
"tensor(0.9884, device='cuda:0')",tensor([1.5294])
"tensor(0.9879, device='cuda:0')",tensor([1.6078])
"tensor(0.9874, device='cuda:0')",tensor([1.6863])
"tensor(0.9869, device='cuda:0')",tensor([1.7647])
