tensor(0.9757),tensor([2.7059])
tensor(0.9772),tensor([2.7843])
tensor(0.9786),tensor([2.8627])
tensor(0.9800),tensor([2.9412])
tensor(0.9813),tensor([3.0196])
tensor(0.9826),tensor([3.0980])
tensor(0.9838),tensor([3.1765])
tensor(0.9850),tensor([3.2549])
tensor(0.9862),tensor([3.3333])
tensor(0.9873),tensor([3.4118])
tensor(0.9884),tensor([3.4902])
tensor(0.9894),tensor([3.5686])
tensor(0.9904),tensor([3.6471])
tensor(0.9913),tensor([3.7255])
tensor(0.9922),tensor([3.8039])
tensor(0.9930),tensor([3.8824])
tensor(0.9938),tensor([3.9608])
tensor(0.9945),tensor([4.0392])
tensor(0.9952),tensor([4.1176])
tensor(0.9959),tensor([4.1961])
tensor(0.9965),tensor([4.2745])
tensor(0.9970),tensor([4.3529])
tensor(0.9976),tensor([4.4314])
tensor(0.9980),tensor([4.5098])
tensor(0.9984),tensor([4.5882])
tensor(0.9988),tensor([4.6667])
tensor(0.9991),tensor([4.7451])
tensor(0.9994),tensor([4.8235])
tensor(0.9996),tensor([4.9020])
tensor(0.9998),tensor([4.9804])
tensor(0.9999),tensor([5.0588])
tensor(1.0000),tensor([5.1373])
tensor(1.0000),tensor([5.2157])
tensor(1.0000),tensor([5.2941])
tensor(0.9999),tensor([5.3725])
tensor(0.9998),tensor([5.4510])
tensor(0.9996),tensor([5.5294])
tensor(0.9994),tensor([5.6078])
tensor(0.9992),tensor([5.6863])
tensor(0.9989),tensor([5.7647])
tensor(0.9985),tensor([5.8431])
tensor(0.9981),tensor([5.9216])
tensor(0.9977),tensor([6.])
tensor(0.9972),tensor([6.0784])
tensor(0.9966),tensor([6.1569])
tensor(0.9960),tensor([6.2353])
tensor(0.9954),tensor([6.3137])
tensor(0.9947),tensor([6.3922])
tensor(0.9940),tensor([6.4706])
tensor(0.9932),tensor([6.5490])
tensor(0.9924),tensor([6.6275])
tensor(0.9915),tensor([6.7059])
tensor(0.9906),tensor([6.7843])
tensor(0.9896),tensor([6.8627])
tensor(0.9886),tensor([6.9412])
tensor(0.9876),tensor([7.0196])
tensor(0.9865),tensor([7.0980])
tensor(0.9853),tensor([7.1765])
tensor(0.8763),tensor([7.2549])
tensor(0.8793),tensor([7.3333])
tensor(0.8823),tensor([7.4118])
tensor(0.8852),tensor([7.4902])
tensor(0.8881),tensor([7.5686])
tensor(0.8910),tensor([7.6471])
tensor(0.8939),tensor([7.7255])
tensor(0.8967),tensor([7.8039])
tensor(0.8995),tensor([7.8824])
tensor(0.9023),tensor([7.9608])
tensor(0.9051),tensor([8.0392])
tensor(0.9078),tensor([8.1176])
tensor(0.9105),tensor([8.1961])
tensor(0.9131),tensor([8.2745])
tensor(0.9157),tensor([8.3529])
tensor(0.9183),tensor([8.4314])
tensor(0.9209),tensor([8.5098])
tensor(0.9234),tensor([8.5882])
tensor(0.9259),tensor([8.6667])
tensor(0.9283),tensor([8.7451])
tensor(0.9307),tensor([8.8235])
tensor(0.9331),tensor([8.9020])
tensor(0.9355),tensor([8.9804])
tensor(0.9378),tensor([9.0588])
tensor(0.9400),tensor([9.1373])
tensor(0.9423),tensor([9.2157])
tensor(0.9445),tensor([9.2941])
tensor(0.9466),tensor([9.3725])
tensor(0.9488),tensor([9.4510])
tensor(0.9508),tensor([9.5294])
tensor(0.9529),tensor([9.6078])
tensor(0.9549),tensor([9.6863])
tensor(0.9569),tensor([9.7647])
tensor(0.9588),tensor([9.8431])
tensor(0.9607),tensor([9.9216])
tensor(0.9625),tensor([10.])
