"tensor(0.9854, device='cuda:0')",tensor([-1.6863])
"tensor(0.9861, device='cuda:0')",tensor([-1.6078])
"tensor(0.9869, device='cuda:0')",tensor([-1.5294])
"tensor(0.9876, device='cuda:0')",tensor([-1.4510])
"tensor(0.9882, device='cuda:0')",tensor([-1.3725])
"tensor(0.9889, device='cuda:0')",tensor([-1.2941])
"tensor(0.9895, device='cuda:0')",tensor([-1.2157])
"tensor(0.9901, device='cuda:0')",tensor([-1.1373])
"tensor(0.9906, device='cuda:0')",tensor([-1.0588])
"tensor(0.9911, device='cuda:0')",tensor([-0.9804])
"tensor(0.9916, device='cuda:0')",tensor([-0.9020])
"tensor(0.9920, device='cuda:0')",tensor([-0.8235])
"tensor(0.9924, device='cuda:0')",tensor([-0.7451])
"tensor(0.9928, device='cuda:0')",tensor([-0.6667])
"tensor(0.9932, device='cuda:0')",tensor([-0.5882])
"tensor(0.9935, device='cuda:0')",tensor([-0.5098])
"tensor(0.9938, device='cuda:0')",tensor([-0.4314])
"tensor(0.9941, device='cuda:0')",tensor([-0.3529])
"tensor(0.9943, device='cuda:0')",tensor([-0.2745])
"tensor(0.9945, device='cuda:0')",tensor([-0.1961])
"tensor(0.9947, device='cuda:0')",tensor([-0.1176])
"tensor(0.9949, device='cuda:0')",tensor([-0.0392])
"tensor(0.9950, device='cuda:0')",tensor([0.0392])
"tensor(0.9951, device='cuda:0')",tensor([0.1176])
"tensor(0.9951, device='cuda:0')",tensor([0.1961])
"tensor(0.9952, device='cuda:0')",tensor([0.2745])
"tensor(0.9952, device='cuda:0')",tensor([0.3529])
"tensor(0.9952, device='cuda:0')",tensor([0.4314])
"tensor(0.9951, device='cuda:0')",tensor([0.5098])
"tensor(0.9951, device='cuda:0')",tensor([0.5882])
"tensor(0.9950, device='cuda:0')",tensor([0.6667])
"tensor(0.9948, device='cuda:0')",tensor([0.7451])
"tensor(0.9947, device='cuda:0')",tensor([0.8235])
"tensor(0.9945, device='cuda:0')",tensor([0.9020])
"tensor(0.9942, device='cuda:0')",tensor([0.9804])
"tensor(0.9940, device='cuda:0')",tensor([1.0588])
"tensor(0.9937, device='cuda:0')",tensor([1.1373])
"tensor(0.9934, device='cuda:0')",tensor([1.2157])
"tensor(0.9930, device='cuda:0')",tensor([1.2941])
"tensor(0.9926, device='cuda:0')",tensor([1.3725])
"tensor(0.9922, device='cuda:0')",tensor([1.4510])
"tensor(0.9918, device='cuda:0')",tensor([1.5294])
"tensor(0.9913, device='cuda:0')",tensor([1.6078])
"tensor(0.9907, device='cuda:0')",tensor([1.6863])
"tensor(0.9902, device='cuda:0')",tensor([1.7647])
"tensor(0.9896, device='cuda:0')",tensor([1.8431])
"tensor(0.9890, device='cuda:0')",tensor([1.9216])
"tensor(0.9883, device='cuda:0')",tensor([2.])
"tensor(0.9876, device='cuda:0')",tensor([2.0784])
"tensor(0.9868, device='cuda:0')",tensor([2.1569])
"tensor(0.9861, device='cuda:0')",tensor([2.2353])
"tensor(0.9852, device='cuda:0')",tensor([2.3137])
"tensor(0.9844, device='cuda:0')",tensor([2.3922])
"tensor(0.9835, device='cuda:0')",tensor([2.4706])
"tensor(0.9825, device='cuda:0')",tensor([2.5490])
"tensor(0.9815, device='cuda:0')",tensor([2.6275])
"tensor(0.9805, device='cuda:0')",tensor([2.7059])
"tensor(0.9794, device='cuda:0')",tensor([2.7843])
"tensor(0.9783, device='cuda:0')",tensor([2.8627])
"tensor(0.9771, device='cuda:0')",tensor([2.9412])
"tensor(0.9759, device='cuda:0')",tensor([3.0196])
"tensor(0.9746, device='cuda:0')",tensor([3.0980])
"tensor(0.9733, device='cuda:0')",tensor([3.1765])
"tensor(0.9719, device='cuda:0')",tensor([3.2549])
"tensor(0.9705, device='cuda:0')",tensor([3.3333])
"tensor(0.9690, device='cuda:0')",tensor([3.4118])
"tensor(0.9675, device='cuda:0')",tensor([3.4902])
"tensor(0.9660, device='cuda:0')",tensor([3.5686])
"tensor(0.9644, device='cuda:0')",tensor([3.6471])
"tensor(0.9627, device='cuda:0')",tensor([3.7255])
"tensor(0.9611, device='cuda:0')",tensor([3.8039])
"tensor(0.9593, device='cuda:0')",tensor([3.8824])
"tensor(0.9575, device='cuda:0')",tensor([3.9608])
"tensor(0.9557, device='cuda:0')",tensor([4.0392])
"tensor(0.9538, device='cuda:0')",tensor([4.1176])
"tensor(0.9519, device='cuda:0')",tensor([4.1961])
"tensor(0.9500, device='cuda:0')",tensor([4.2745])
"tensor(0.9480, device='cuda:0')",tensor([4.3529])
"tensor(0.9460, device='cuda:0')",tensor([4.4314])
"tensor(0.9439, device='cuda:0')",tensor([4.5098])
"tensor(0.9418, device='cuda:0')",tensor([4.5882])
"tensor(0.9397, device='cuda:0')",tensor([4.6667])
"tensor(0.9376, device='cuda:0')",tensor([4.7451])
"tensor(0.9354, device='cuda:0')",tensor([4.8235])
"tensor(0.9332, device='cuda:0')",tensor([4.9020])
"tensor(0.9310, device='cuda:0')",tensor([4.9804])
"tensor(0.9287, device='cuda:0')",tensor([5.0588])
"tensor(0.9265, device='cuda:0')",tensor([5.1373])
"tensor(0.9242, device='cuda:0')",tensor([5.2157])
"tensor(0.9219, device='cuda:0')",tensor([5.2941])
"tensor(0.9196, device='cuda:0')",tensor([5.3725])
"tensor(0.9174, device='cuda:0')",tensor([5.4510])
"tensor(0.9151, device='cuda:0')",tensor([5.5294])
"tensor(0.9128, device='cuda:0')",tensor([5.6078])
"tensor(0.9105, device='cuda:0')",tensor([5.6863])
"tensor(0.9082, device='cuda:0')",tensor([5.7647])
"tensor(0.9059, device='cuda:0')",tensor([5.8431])
"tensor(0.9036, device='cuda:0')",tensor([5.9216])
"tensor(0.9014, device='cuda:0')",tensor([6.])
"tensor(0.8991, device='cuda:0')",tensor([6.0784])
"tensor(0.8969, device='cuda:0')",tensor([6.1569])
"tensor(0.8947, device='cuda:0')",tensor([6.2353])
"tensor(0.8925, device='cuda:0')",tensor([6.3137])
"tensor(0.8903, device='cuda:0')",tensor([6.3922])
"tensor(0.8882, device='cuda:0')",tensor([6.4706])
"tensor(0.8860, device='cuda:0')",tensor([6.5490])
"tensor(0.8839, device='cuda:0')",tensor([6.6275])
"tensor(0.8819, device='cuda:0')",tensor([6.7059])
"tensor(0.8798, device='cuda:0')",tensor([6.7843])
"tensor(0.8778, device='cuda:0')",tensor([6.8627])
"tensor(0.8759, device='cuda:0')",tensor([6.9412])
"tensor(0.8739, device='cuda:0')",tensor([7.0196])
"tensor(0.8720, device='cuda:0')",tensor([7.0980])
"tensor(0.8701, device='cuda:0')",tensor([7.1765])
"tensor(0.8683, device='cuda:0')",tensor([7.2549])
"tensor(0.8665, device='cuda:0')",tensor([7.3333])
"tensor(0.8647, device='cuda:0')",tensor([7.4118])
"tensor(0.8630, device='cuda:0')",tensor([7.4902])
"tensor(0.8613, device='cuda:0')",tensor([7.5686])
"tensor(0.8596, device='cuda:0')",tensor([7.6471])
"tensor(0.8580, device='cuda:0')",tensor([7.7255])
"tensor(0.8564, device='cuda:0')",tensor([7.8039])
"tensor(0.8549, device='cuda:0')",tensor([7.8824])
"tensor(0.8533, device='cuda:0')",tensor([7.9608])
"tensor(0.8519, device='cuda:0')",tensor([8.0392])
"tensor(0.8504, device='cuda:0')",tensor([8.1176])
"tensor(0.8490, device='cuda:0')",tensor([8.1961])
"tensor(0.8476, device='cuda:0')",tensor([8.2745])
"tensor(0.8463, device='cuda:0')",tensor([8.3529])
"tensor(0.8449, device='cuda:0')",tensor([8.4314])
"tensor(0.8437, device='cuda:0')",tensor([8.5098])
"tensor(0.8424, device='cuda:0')",tensor([8.5882])
"tensor(0.8412, device='cuda:0')",tensor([8.6667])
"tensor(0.8400, device='cuda:0')",tensor([8.7451])
"tensor(0.8389, device='cuda:0')",tensor([8.8235])
"tensor(0.8378, device='cuda:0')",tensor([8.9020])
"tensor(0.8367, device='cuda:0')",tensor([8.9804])
"tensor(0.8356, device='cuda:0')",tensor([9.0588])
"tensor(0.8346, device='cuda:0')",tensor([9.1373])
"tensor(0.8336, device='cuda:0')",tensor([9.2157])
"tensor(0.8326, device='cuda:0')",tensor([9.2941])
"tensor(0.8316, device='cuda:0')",tensor([9.3725])
"tensor(0.8307, device='cuda:0')",tensor([9.4510])
"tensor(0.8298, device='cuda:0')",tensor([9.5294])
"tensor(0.8289, device='cuda:0')",tensor([9.6078])
"tensor(0.8281, device='cuda:0')",tensor([9.6863])
"tensor(0.8273, device='cuda:0')",tensor([9.7647])
"tensor(0.8265, device='cuda:0')",tensor([9.8431])
"tensor(0.8257, device='cuda:0')",tensor([9.9216])
"tensor(0.8249, device='cuda:0')",tensor([10.])
