"tensor(0.8370, device='cuda:0')",tensor(0.8941)
"tensor(-0.0711, device='cuda:0')",tensor(0.0235)
"tensor(0.1700, device='cuda:0')",tensor(0.3098)
"tensor(0.6662, device='cuda:0')",tensor(0.8078)
"tensor(0.3461, device='cuda:0')",tensor(0.4588)
