"tensor(1.0052, device='cuda:0')",tensor(0.8941)
"tensor(0.0029, device='cuda:0')",tensor(0.0235)
"tensor(0.1254, device='cuda:0')",tensor(0.3098)
"tensor(0.7342, device='cuda:0')",tensor(0.8078)
"tensor(0.3262, device='cuda:0')",tensor(0.4588)
