"tensor(0.7889, device='cuda:0')",tensor(0.8941)
"tensor(0.0172, device='cuda:0')",tensor(0.0235)
"tensor(0.2735, device='cuda:0')",tensor(0.3098)
"tensor(0.7799, device='cuda:0')",tensor(0.8078)
"tensor(0.2398, device='cuda:0')",tensor(0.4588)
