"tensor(0.8002, device='cuda:0')",tensor(0.8941)
"tensor(0.0310, device='cuda:0')",tensor(0.0235)
"tensor(0.3056, device='cuda:0')",tensor(0.3098)
"tensor(0.7993, device='cuda:0')",tensor(0.8078)
"tensor(0.2572, device='cuda:0')",tensor(0.4588)
