"tensor(1.0258, device='cuda:0')",tensor(0.8941)
"tensor(0.0098, device='cuda:0')",tensor(0.0235)
"tensor(0.1634, device='cuda:0')",tensor(0.3098)
"tensor(0.7516, device='cuda:0')",tensor(0.8078)
"tensor(0.3610, device='cuda:0')",tensor(0.4588)
