"tensor(0.8449, device='cuda:0')",tensor(0.8941)
"tensor(-0.0770, device='cuda:0')",tensor(0.0235)
"tensor(0.1762, device='cuda:0')",tensor(0.3098)
"tensor(0.6706, device='cuda:0')",tensor(0.8078)
"tensor(0.3600, device='cuda:0')",tensor(0.4588)
