"tensor(0.9904, device='cuda:0')",tensor(0.8941)
"tensor(0.0002, device='cuda:0')",tensor(0.0235)
"tensor(0.1184, device='cuda:0')",tensor(0.3098)
"tensor(0.7177, device='cuda:0')",tensor(0.8078)
"tensor(0.3120, device='cuda:0')",tensor(0.4588)
