"tensor(0.9586, device='cuda:0')",tensor(0.8941)
"tensor(0.0012, device='cuda:0')",tensor(0.0235)
"tensor(0.1437, device='cuda:0')",tensor(0.3098)
"tensor(0.6545, device='cuda:0')",tensor(0.8078)
"tensor(0.3108, device='cuda:0')",tensor(0.4588)
