"tensor(0.8717, device='cuda:0')",tensor(0.8941)
"tensor(-0.0558, device='cuda:0')",tensor(0.0235)
"tensor(0.2070, device='cuda:0')",tensor(0.3098)
"tensor(0.7041, device='cuda:0')",tensor(0.8078)
"tensor(0.3951, device='cuda:0')",tensor(0.4588)
