"tensor(0.7748, device='cuda:0')",tensor(0.8941)
"tensor(0.0141, device='cuda:0')",tensor(0.0235)
"tensor(0.1868, device='cuda:0')",tensor(0.3098)
"tensor(0.8379, device='cuda:0')",tensor(0.8078)
"tensor(0.1231, device='cuda:0')",tensor(0.4588)
