"tensor(1.0251, device='cuda:0')",tensor(0.8941)
"tensor(0.0092, device='cuda:0')",tensor(0.0235)
"tensor(0.1630, device='cuda:0')",tensor(0.3098)
"tensor(0.7505, device='cuda:0')",tensor(0.8078)
"tensor(0.3602, device='cuda:0')",tensor(0.4588)
