"tensor(0.7806, device='cuda:0')",tensor(0.8941)
"tensor(0.0425, device='cuda:0')",tensor(0.0235)
"tensor(0.2198, device='cuda:0')",tensor(0.3098)
"tensor(0.8338, device='cuda:0')",tensor(0.8078)
"tensor(0.1106, device='cuda:0')",tensor(0.4588)
