"tensor(0.7891, device='cuda:0')",tensor(0.8941)
"tensor(0.0169, device='cuda:0')",tensor(0.0235)
"tensor(0.2736, device='cuda:0')",tensor(0.3098)
"tensor(0.7800, device='cuda:0')",tensor(0.8078)
"tensor(0.2407, device='cuda:0')",tensor(0.4588)
