"tensor(0.9626, device='cuda:0')",tensor(0.8941)
"tensor(0.0032, device='cuda:0')",tensor(0.0235)
"tensor(0.1278, device='cuda:0')",tensor(0.3098)
"tensor(0.7056, device='cuda:0')",tensor(0.8078)
"tensor(0.3108, device='cuda:0')",tensor(0.4588)
