"tensor(0.7820, device='cuda:0')",tensor(0.8941)
"tensor(0.0432, device='cuda:0')",tensor(0.0235)
"tensor(0.2205, device='cuda:0')",tensor(0.3098)
"tensor(0.8354, device='cuda:0')",tensor(0.8078)
"tensor(0.1108, device='cuda:0')",tensor(0.4588)
