"tensor(0.7958, device='cuda:0')",tensor(0.8941)
"tensor(0.0156, device='cuda:0')",tensor(0.0235)
"tensor(0.2014, device='cuda:0')",tensor(0.3098)
"tensor(0.8843, device='cuda:0')",tensor(0.8078)
"tensor(0.1103, device='cuda:0')",tensor(0.4588)
