"tensor(0.9682, device='cuda:0')",tensor(0.8941)
"tensor(0.0015, device='cuda:0')",tensor(0.0235)
"tensor(0.1416, device='cuda:0')",tensor(0.3098)
"tensor(0.6501, device='cuda:0')",tensor(0.8078)
"tensor(0.3076, device='cuda:0')",tensor(0.4588)
