"tensor(0.9061, device='cuda:0')",tensor([-10.])
"tensor(1.0211, device='cuda:0')",tensor([-9.9216])
"tensor(0.7977, device='cuda:0')",tensor([-9.8431])
"tensor(0.9089, device='cuda:0')",tensor([-9.7647])
"tensor(1.0212, device='cuda:0')",tensor([-9.6863])
"tensor(0.6803, device='cuda:0')",tensor([-9.6078])
"tensor(1.0472, device='cuda:0')",tensor([-9.5294])
"tensor(1.0621, device='cuda:0')",tensor([-9.4510])
"tensor(1.0696, device='cuda:0')",tensor([-9.3725])
"tensor(0.8922, device='cuda:0')",tensor([-9.2941])
"tensor(0.9539, device='cuda:0')",tensor([-9.2157])
"tensor(1.1083, device='cuda:0')",tensor([-9.1373])
"tensor(1.0750, device='cuda:0')",tensor([-9.0588])
"tensor(0.7968, device='cuda:0')",tensor([-8.9804])
"tensor(0.9370, device='cuda:0')",tensor([-8.9020])
"tensor(1.0568, device='cuda:0')",tensor([-8.8235])
"tensor(1.0751, device='cuda:0')",tensor([-8.7451])
"tensor(0.9071, device='cuda:0')",tensor([-8.6667])
"tensor(0.7878, device='cuda:0')",tensor([-8.5882])
"tensor(0.8110, device='cuda:0')",tensor([-8.5098])
"tensor(1.0675, device='cuda:0')",tensor([-8.4314])
"tensor(0.6780, device='cuda:0')",tensor([-8.3529])
"tensor(1.2837, device='cuda:0')",tensor([-8.2745])
"tensor(0.9391, device='cuda:0')",tensor([-8.1961])
"tensor(0.8350, device='cuda:0')",tensor([-8.1176])
"tensor(1.1276, device='cuda:0')",tensor([-8.0392])
"tensor(1.0253, device='cuda:0')",tensor([-7.9608])
"tensor(0.8900, device='cuda:0')",tensor([-7.8824])
"tensor(0.8679, device='cuda:0')",tensor([-7.8039])
"tensor(0.8802, device='cuda:0')",tensor([-7.7255])
"tensor(0.8755, device='cuda:0')",tensor([-7.6471])
"tensor(1.0108, device='cuda:0')",tensor([-7.5686])
"tensor(1.2334, device='cuda:0')",tensor([-7.4902])
"tensor(0.8547, device='cuda:0')",tensor([-7.4118])
"tensor(1.1344, device='cuda:0')",tensor([-7.3333])
"tensor(0.9015, device='cuda:0')",tensor([-7.2549])
"tensor(1.3733, device='cuda:0')",tensor([-7.1765])
"tensor(0.8399, device='cuda:0')",tensor([-7.0980])
"tensor(1.3756, device='cuda:0')",tensor([-7.0196])
"tensor(1.0959, device='cuda:0')",tensor([-6.9412])
"tensor(1.0824, device='cuda:0')",tensor([-6.8627])
"tensor(0.5461, device='cuda:0')",tensor([-6.7843])
"tensor(1.4642, device='cuda:0')",tensor([-6.7059])
"tensor(0.8418, device='cuda:0')",tensor([-6.6275])
"tensor(1.3951, device='cuda:0')",tensor([-6.5490])
"tensor(1.3347, device='cuda:0')",tensor([-6.4706])
"tensor(1.2258, device='cuda:0')",tensor([-6.3922])
"tensor(1.2523, device='cuda:0')",tensor([-6.3137])
"tensor(0.7973, device='cuda:0')",tensor([-6.2353])
"tensor(0.9629, device='cuda:0')",tensor([-6.1569])
"tensor(0.5535, device='cuda:0')",tensor([-6.0784])
"tensor(1.2457, device='cuda:0')",tensor([-6.])
"tensor(1.3919, device='cuda:0')",tensor([-5.9216])
"tensor(0.7397, device='cuda:0')",tensor([-5.8431])
"tensor(1.2856, device='cuda:0')",tensor([-5.7647])
"tensor(1.0820, device='cuda:0')",tensor([-5.6863])
"tensor(1.1755, device='cuda:0')",tensor([-5.6078])
"tensor(1.2070, device='cuda:0')",tensor([-5.5294])
"tensor(0.8971, device='cuda:0')",tensor([-5.4510])
"tensor(1.3650, device='cuda:0')",tensor([-5.3725])
"tensor(0.7185, device='cuda:0')",tensor([-5.2941])
"tensor(1.1442, device='cuda:0')",tensor([-5.2157])
"tensor(0.9613, device='cuda:0')",tensor([-5.1373])
"tensor(1.0529, device='cuda:0')",tensor([-5.0588])
"tensor(1.2261, device='cuda:0')",tensor([-4.9804])
"tensor(1.2148, device='cuda:0')",tensor([-4.9020])
"tensor(0.9797, device='cuda:0')",tensor([-4.8235])
"tensor(1.2897, device='cuda:0')",tensor([-4.7451])
"tensor(1.1385, device='cuda:0')",tensor([-4.6667])
"tensor(0.7288, device='cuda:0')",tensor([-4.5882])
"tensor(0.3758, device='cuda:0')",tensor([-4.5098])
"tensor(1.2854, device='cuda:0')",tensor([-4.4314])
"tensor(0.9442, device='cuda:0')",tensor([-4.3529])
"tensor(0.7937, device='cuda:0')",tensor([-4.2745])
