"tensor(0.6786, device='cuda:0')",tensor([-10.])
"tensor(1.1167, device='cuda:0')",tensor([-9.9216])
"tensor(0.7299, device='cuda:0')",tensor([-9.8431])
"tensor(1.0132, device='cuda:0')",tensor([-9.7647])
"tensor(0.9164, device='cuda:0')",tensor([-9.6863])
"tensor(1.0674, device='cuda:0')",tensor([-9.6078])
"tensor(0.8847, device='cuda:0')",tensor([-9.5294])
"tensor(1.1224, device='cuda:0')",tensor([-9.4510])
"tensor(0.9376, device='cuda:0')",tensor([-9.3725])
"tensor(0.9403, device='cuda:0')",tensor([-9.2941])
"tensor(1.0080, device='cuda:0')",tensor([-9.2157])
"tensor(0.7527, device='cuda:0')",tensor([-9.1373])
"tensor(0.8671, device='cuda:0')",tensor([-9.0588])
"tensor(0.9625, device='cuda:0')",tensor([-8.9804])
"tensor(0.6634, device='cuda:0')",tensor([-8.9020])
"tensor(1.3690, device='cuda:0')",tensor([-8.8235])
"tensor(1.3137, device='cuda:0')",tensor([-8.7451])
"tensor(0.8720, device='cuda:0')",tensor([-8.6667])
"tensor(1.0574, device='cuda:0')",tensor([-8.5882])
"tensor(0.9021, device='cuda:0')",tensor([-8.5098])
"tensor(0.3845, device='cuda:0')",tensor([-8.4314])
"tensor(0.6973, device='cuda:0')",tensor([-8.3529])
"tensor(1.1281, device='cuda:0')",tensor([-8.2745])
"tensor(1.1647, device='cuda:0')",tensor([-8.1961])
"tensor(1.2439, device='cuda:0')",tensor([-8.1176])
"tensor(0.8551, device='cuda:0')",tensor([-8.0392])
"tensor(1.0470, device='cuda:0')",tensor([-7.9608])
"tensor(0.9286, device='cuda:0')",tensor([-7.8824])
"tensor(1.3188, device='cuda:0')",tensor([-7.8039])
"tensor(0.8973, device='cuda:0')",tensor([-7.7255])
"tensor(0.6613, device='cuda:0')",tensor([-7.6471])
"tensor(1.0605, device='cuda:0')",tensor([-7.5686])
"tensor(0.6727, device='cuda:0')",tensor([-7.4902])
"tensor(0.8108, device='cuda:0')",tensor([-7.4118])
"tensor(1.1330, device='cuda:0')",tensor([-7.3333])
"tensor(0.8243, device='cuda:0')",tensor([-7.2549])
"tensor(1.2353, device='cuda:0')",tensor([-7.1765])
"tensor(1.3196, device='cuda:0')",tensor([-7.0980])
"tensor(1.3879, device='cuda:0')",tensor([-7.0196])
"tensor(1.1159, device='cuda:0')",tensor([-6.9412])
"tensor(0.8109, device='cuda:0')",tensor([-6.8627])
"tensor(1.0241, device='cuda:0')",tensor([-6.7843])
"tensor(0.7866, device='cuda:0')",tensor([-6.7059])
"tensor(1.0303, device='cuda:0')",tensor([-6.6275])
"tensor(0.9744, device='cuda:0')",tensor([-6.5490])
"tensor(0.7788, device='cuda:0')",tensor([-6.4706])
"tensor(1.1824, device='cuda:0')",tensor([-6.3922])
"tensor(0.9621, device='cuda:0')",tensor([-6.3137])
"tensor(0.7766, device='cuda:0')",tensor([-6.2353])
"tensor(1.1382, device='cuda:0')",tensor([-6.1569])
"tensor(1.1617, device='cuda:0')",tensor([-6.0784])
"tensor(0.9584, device='cuda:0')",tensor([-6.])
"tensor(1.2708, device='cuda:0')",tensor([-5.9216])
"tensor(1.0802, device='cuda:0')",tensor([-5.8431])
"tensor(1.3981, device='cuda:0')",tensor([-5.7647])
"tensor(1.2647, device='cuda:0')",tensor([-5.6863])
"tensor(1.2842, device='cuda:0')",tensor([-5.6078])
"tensor(0.7365, device='cuda:0')",tensor([-5.5294])
"tensor(1.2103, device='cuda:0')",tensor([-5.4510])
"tensor(1.2284, device='cuda:0')",tensor([-5.3725])
"tensor(0.6883, device='cuda:0')",tensor([-5.2941])
"tensor(0.7952, device='cuda:0')",tensor([-5.2157])
"tensor(1.0319, device='cuda:0')",tensor([-5.1373])
"tensor(0.8256, device='cuda:0')",tensor([-5.0588])
"tensor(1.0708, device='cuda:0')",tensor([-4.9804])
"tensor(1.0715, device='cuda:0')",tensor([-4.9020])
"tensor(1.1794, device='cuda:0')",tensor([-4.8235])
"tensor(1.3808, device='cuda:0')",tensor([-4.7451])
"tensor(1.1139, device='cuda:0')",tensor([-4.6667])
"tensor(1.1549, device='cuda:0')",tensor([-4.5882])
"tensor(0.9211, device='cuda:0')",tensor([-4.5098])
"tensor(1.2876, device='cuda:0')",tensor([-4.4314])
"tensor(1.2511, device='cuda:0')",tensor([-4.3529])
"tensor(0.5075, device='cuda:0')",tensor([-4.2745])
"tensor(0.6635, device='cuda:0')",tensor([-4.1961])
"tensor(0.6178, device='cuda:0')",tensor([-4.1176])
"tensor(1.3142, device='cuda:0')",tensor([-4.0392])
"tensor(1.3672, device='cuda:0')",tensor([-3.9608])
"tensor(0.7759, device='cuda:0')",tensor([-3.8824])
"tensor(1.3471, device='cuda:0')",tensor([-3.8039])
"tensor(1.2229, device='cuda:0')",tensor([-3.7255])
"tensor(1.2557, device='cuda:0')",tensor([-3.6471])
"tensor(1.1961, device='cuda:0')",tensor([-3.5686])
"tensor(0.9006, device='cuda:0')",tensor([-3.4902])
"tensor(1.2143, device='cuda:0')",tensor([-3.4118])
"tensor(1.0782, device='cuda:0')",tensor([-3.3333])
"tensor(0.8653, device='cuda:0')",tensor([-3.2549])
"tensor(0.3939, device='cuda:0')",tensor([-3.1765])
"tensor(1.1930, device='cuda:0')",tensor([-3.0980])
"tensor(0.6600, device='cuda:0')",tensor([-3.0196])
"tensor(0.3357, device='cuda:0')",tensor([-2.9412])
"tensor(0.9915, device='cuda:0')",tensor([-2.8627])
"tensor(0.7222, device='cuda:0')",tensor([-2.7843])
"tensor(0.8686, device='cuda:0')",tensor([-2.7059])
"tensor(0.7118, device='cuda:0')",tensor([-2.6275])
"tensor(0.6631, device='cuda:0')",tensor([-2.5490])
"tensor(1.1546, device='cuda:0')",tensor([-2.4706])
"tensor(1.1011, device='cuda:0')",tensor([-2.3922])
"tensor(0.8393, device='cuda:0')",tensor([-2.3137])
"tensor(0.9496, device='cuda:0')",tensor([-2.2353])
"tensor(1.1088, device='cuda:0')",tensor([-2.1569])
"tensor(0.6954, device='cuda:0')",tensor([-2.0784])
"tensor(0.8162, device='cuda:0')",tensor([-2.])
"tensor(0.7448, device='cuda:0')",tensor([-1.9216])
"tensor(0.8446, device='cuda:0')",tensor([-1.8431])
"tensor(1.0194, device='cuda:0')",tensor([-1.7647])
"tensor(0.3819, device='cuda:0')",tensor([-1.6863])
"tensor(1.1673, device='cuda:0')",tensor([-1.6078])
"tensor(0.9647, device='cuda:0')",tensor([-1.5294])
"tensor(0.8836, device='cuda:0')",tensor([-1.4510])
"tensor(0.9972, device='cuda:0')",tensor([-1.3725])
"tensor(0.3300, device='cuda:0')",tensor([-1.2941])
"tensor(0.8474, device='cuda:0')",tensor([-1.2157])
"tensor(1.1387, device='cuda:0')",tensor([-1.1373])
"tensor(1.2514, device='cuda:0')",tensor([-1.0588])
"tensor(0.3153, device='cuda:0')",tensor([-0.9804])
"tensor(0.9602, device='cuda:0')",tensor([-0.9020])
"tensor(0.4778, device='cuda:0')",tensor([-0.8235])
"tensor(0.7838, device='cuda:0')",tensor([-0.7451])
"tensor(0.9506, device='cuda:0')",tensor([-0.6667])
