"tensor(-0.0757, device='cuda:0')",tensor([-0.1843])
"tensor(0.6631, device='cuda:0')",tensor([-0.1765])
"tensor(-0.4875, device='cuda:0')",tensor([-0.1686])
"tensor(0.1816, device='cuda:0')",tensor([-0.1608])
"tensor(-0.2736, device='cuda:0')",tensor([-0.1529])
"tensor(-0.9176, device='cuda:0')",tensor([-0.1451])
"tensor(0.3520, device='cuda:0')",tensor([-0.1373])
"tensor(-0.2567, device='cuda:0')",tensor([-0.1294])
"tensor(-0.1503, device='cuda:0')",tensor([-0.1216])
"tensor(0.1480, device='cuda:0')",tensor([-0.1137])
"tensor(0.2895, device='cuda:0')",tensor([-0.1059])
"tensor(-0.0200, device='cuda:0')",tensor([-0.0980])
"tensor(-1.0065, device='cuda:0')",tensor([-0.0902])
"tensor(0.2187, device='cuda:0')",tensor([-0.0824])
"tensor(-0.5803, device='cuda:0')",tensor([-0.0745])
"tensor(-0.6191, device='cuda:0')",tensor([-0.0667])
"tensor(-0.6787, device='cuda:0')",tensor([-0.0588])
"tensor(-0.6294, device='cuda:0')",tensor([-0.0510])
"tensor(-0.6707, device='cuda:0')",tensor([-0.0431])
"tensor(-0.5627, device='cuda:0')",tensor([-0.0353])
"tensor(0.0835, device='cuda:0')",tensor([-0.0275])
"tensor(-0.1822, device='cuda:0')",tensor([-0.0196])
"tensor(-0.1043, device='cuda:0')",tensor([-0.0118])
"tensor(-0.0754, device='cuda:0')",tensor([-0.0039])
"tensor(0.1213, device='cuda:0')",tensor([0.0039])
"tensor(-0.4549, device='cuda:0')",tensor([0.0118])
"tensor(-0.1570, device='cuda:0')",tensor([0.0196])
"tensor(0.1487, device='cuda:0')",tensor([0.0275])
"tensor(0.5816, device='cuda:0')",tensor([0.0353])
"tensor(-0.6127, device='cuda:0')",tensor([0.0431])
"tensor(0.1077, device='cuda:0')",tensor([0.0510])
"tensor(-0.6414, device='cuda:0')",tensor([0.0588])
"tensor(-0.7078, device='cuda:0')",tensor([0.0667])
"tensor(-0.8442, device='cuda:0')",tensor([0.0745])
"tensor(0.0448, device='cuda:0')",tensor([0.0824])
"tensor(0.2170, device='cuda:0')",tensor([0.0902])
"tensor(0.7297, device='cuda:0')",tensor([0.0980])
"tensor(-0.2664, device='cuda:0')",tensor([0.1059])
"tensor(-0.2259, device='cuda:0')",tensor([0.1137])
"tensor(0.0139, device='cuda:0')",tensor([0.1216])
"tensor(-0.4088, device='cuda:0')",tensor([0.1294])
"tensor(0.1151, device='cuda:0')",tensor([0.1373])
"tensor(-0.4096, device='cuda:0')",tensor([0.1451])
"tensor(-0.6476, device='cuda:0')",tensor([0.1529])
"tensor(-0.8892, device='cuda:0')",tensor([0.1608])
"tensor(-0.5154, device='cuda:0')",tensor([0.1686])
"tensor(-0.5748, device='cuda:0')",tensor([0.1765])
"tensor(-0.1891, device='cuda:0')",tensor([0.1843])
"tensor(0.2810, device='cuda:0')",tensor([0.1922])
"tensor(0.8346, device='cuda:0')",tensor([0.2000])
"tensor(0.1528, device='cuda:0')",tensor([0.2078])
"tensor(0.1157, device='cuda:0')",tensor([0.2157])
"tensor(-0.3965, device='cuda:0')",tensor([0.2235])
"tensor(0.1964, device='cuda:0')",tensor([0.2314])
"tensor(0.4287, device='cuda:0')",tensor([0.2392])
"tensor(0.7750, device='cuda:0')",tensor([0.2471])
"tensor(-0.4786, device='cuda:0')",tensor([0.2549])
"tensor(-0.3573, device='cuda:0')",tensor([0.2627])
"tensor(0.2735, device='cuda:0')",tensor([0.2706])
"tensor(0.3547, device='cuda:0')",tensor([0.2784])
"tensor(-0.2089, device='cuda:0')",tensor([0.2863])
"tensor(-0.3156, device='cuda:0')",tensor([0.2941])
"tensor(-0.1700, device='cuda:0')",tensor([0.3020])
"tensor(-0.3582, device='cuda:0')",tensor([0.3098])
"tensor(-0.1812, device='cuda:0')",tensor([0.3176])
"tensor(0.6241, device='cuda:0')",tensor([0.3255])
"tensor(-0.5912, device='cuda:0')",tensor([0.3333])
"tensor(-0.5576, device='cuda:0')",tensor([0.3412])
"tensor(-0.2386, device='cuda:0')",tensor([0.3490])
"tensor(-1.1387, device='cuda:0')",tensor([0.3569])
"tensor(-0.4069, device='cuda:0')",tensor([0.3647])
"tensor(0.4269, device='cuda:0')",tensor([0.3725])
"tensor(0.3500, device='cuda:0')",tensor([0.3804])
"tensor(0.1896, device='cuda:0')",tensor([0.3882])
"tensor(0.2985, device='cuda:0')",tensor([0.3961])
"tensor(-0.4803, device='cuda:0')",tensor([0.4039])
"tensor(-0.0627, device='cuda:0')",tensor([0.4118])
"tensor(0.5039, device='cuda:0')",tensor([0.4196])
"tensor(-0.0959, device='cuda:0')",tensor([0.4275])
"tensor(-0.1092, device='cuda:0')",tensor([0.4353])
"tensor(0.2941, device='cuda:0')",tensor([0.4431])
"tensor(-0.2801, device='cuda:0')",tensor([0.4510])
"tensor(0.1218, device='cuda:0')",tensor([0.4588])
"tensor(0.2734, device='cuda:0')",tensor([0.4667])
"tensor(0.1336, device='cuda:0')",tensor([0.4745])
"tensor(-0.5810, device='cuda:0')",tensor([0.4824])
"tensor(-0.0299, device='cuda:0')",tensor([0.4902])
"tensor(0.3245, device='cuda:0')",tensor([0.4980])
"tensor(-0.5333, device='cuda:0')",tensor([0.5059])
"tensor(-0.1188, device='cuda:0')",tensor([0.5137])
"tensor(-0.1338, device='cuda:0')",tensor([0.5216])
"tensor(0.1471, device='cuda:0')",tensor([0.5294])
"tensor(-0.0968, device='cuda:0')",tensor([0.5373])
"tensor(-0.8195, device='cuda:0')",tensor([0.5451])
"tensor(-0.7600, device='cuda:0')",tensor([0.5529])
"tensor(-0.3727, device='cuda:0')",tensor([0.5608])
"tensor(-0.0161, device='cuda:0')",tensor([0.5686])
"tensor(-0.4675, device='cuda:0')",tensor([0.5765])
"tensor(0.4654, device='cuda:0')",tensor([0.5843])
"tensor(-0.5292, device='cuda:0')",tensor([0.5922])
"tensor(0.5342, device='cuda:0')",tensor([0.6000])
"tensor(-0.4103, device='cuda:0')",tensor([0.6078])
"tensor(-0.0295, device='cuda:0')",tensor([0.6157])
"tensor(0.3976, device='cuda:0')",tensor([0.6235])
"tensor(-0.0652, device='cuda:0')",tensor([0.6314])
"tensor(-0.8802, device='cuda:0')",tensor([0.6392])
"tensor(-0.4721, device='cuda:0')",tensor([0.6471])
"tensor(-0.7166, device='cuda:0')",tensor([0.6549])
"tensor(-0.5641, device='cuda:0')",tensor([0.6627])
"tensor(-0.3255, device='cuda:0')",tensor([0.6706])
"tensor(0.2142, device='cuda:0')",tensor([0.6784])
"tensor(0.1414, device='cuda:0')",tensor([0.6863])
"tensor(-1.0550, device='cuda:0')",tensor([0.6941])
"tensor(0.4247, device='cuda:0')",tensor([0.7020])
"tensor(0.0601, device='cuda:0')",tensor([0.7098])
"tensor(-0.4699, device='cuda:0')",tensor([0.7176])
"tensor(-0.3784, device='cuda:0')",tensor([0.7255])
"tensor(-0.8222, device='cuda:0')",tensor([0.7333])
"tensor(-0.4685, device='cuda:0')",tensor([0.7412])
"tensor(-0.4479, device='cuda:0')",tensor([0.7490])
"tensor(0.6951, device='cuda:0')",tensor([0.7569])
"tensor(-0.6468, device='cuda:0')",tensor([0.7647])
"tensor(-0.7443, device='cuda:0')",tensor([0.7725])
