"tensor(0.0005, device='cuda:0')",tensor(0.8941)
"tensor(0.0008, device='cuda:0')",tensor(0.0235)
"tensor(0.0007, device='cuda:0')",tensor(0.3098)
"tensor(0.0006, device='cuda:0')",tensor(0.8078)
"tensor(0.0007, device='cuda:0')",tensor(0.4588)
