"tensor(0.6133, device='cuda:0')",tensor([-10.])
"tensor(0.6142, device='cuda:0')",tensor([-9.9216])
"tensor(0.6151, device='cuda:0')",tensor([-9.8431])
"tensor(0.6160, device='cuda:0')",tensor([-9.7647])
"tensor(0.6169, device='cuda:0')",tensor([-9.6863])
"tensor(0.6178, device='cuda:0')",tensor([-9.6078])
"tensor(0.6188, device='cuda:0')",tensor([-9.5294])
"tensor(0.6198, device='cuda:0')",tensor([-9.4510])
"tensor(0.6208, device='cuda:0')",tensor([-9.3725])
"tensor(0.6218, device='cuda:0')",tensor([-9.2941])
"tensor(0.6228, device='cuda:0')",tensor([-9.2157])
"tensor(0.6239, device='cuda:0')",tensor([-9.1373])
"tensor(0.6250, device='cuda:0')",tensor([-9.0588])
"tensor(0.6261, device='cuda:0')",tensor([-8.9804])
"tensor(0.6272, device='cuda:0')",tensor([-8.9020])
"tensor(0.6284, device='cuda:0')",tensor([-8.8235])
"tensor(0.6296, device='cuda:0')",tensor([-8.7451])
"tensor(0.6308, device='cuda:0')",tensor([-8.6667])
"tensor(0.6320, device='cuda:0')",tensor([-8.5882])
"tensor(0.6332, device='cuda:0')",tensor([-8.5098])
"tensor(0.6345, device='cuda:0')",tensor([-8.4314])
"tensor(0.6358, device='cuda:0')",tensor([-8.3529])
"tensor(0.6371, device='cuda:0')",tensor([-8.2745])
"tensor(0.6385, device='cuda:0')",tensor([-8.1961])
"tensor(0.6399, device='cuda:0')",tensor([-8.1176])
"tensor(0.6413, device='cuda:0')",tensor([-8.0392])
"tensor(0.6427, device='cuda:0')",tensor([-7.9608])
"tensor(0.6441, device='cuda:0')",tensor([-7.8824])
"tensor(0.6456, device='cuda:0')",tensor([-7.8039])
"tensor(0.6471, device='cuda:0')",tensor([-7.7255])
"tensor(0.6486, device='cuda:0')",tensor([-7.6471])
"tensor(0.6502, device='cuda:0')",tensor([-7.5686])
"tensor(0.6517, device='cuda:0')",tensor([-7.4902])
"tensor(0.6533, device='cuda:0')",tensor([-7.4118])
"tensor(0.6550, device='cuda:0')",tensor([-7.3333])
"tensor(0.6566, device='cuda:0')",tensor([-7.2549])
"tensor(0.6583, device='cuda:0')",tensor([-7.1765])
"tensor(0.6600, device='cuda:0')",tensor([-7.0980])
"tensor(0.6617, device='cuda:0')",tensor([-7.0196])
"tensor(0.6635, device='cuda:0')",tensor([-6.9412])
"tensor(0.6653, device='cuda:0')",tensor([-6.8627])
"tensor(0.6671, device='cuda:0')",tensor([-6.7843])
"tensor(0.6689, device='cuda:0')",tensor([-6.7059])
"tensor(0.6708, device='cuda:0')",tensor([-6.6275])
"tensor(0.6727, device='cuda:0')",tensor([-6.5490])
"tensor(0.6746, device='cuda:0')",tensor([-6.4706])
"tensor(0.6765, device='cuda:0')",tensor([-6.3922])
"tensor(0.6785, device='cuda:0')",tensor([-6.3137])
"tensor(0.6805, device='cuda:0')",tensor([-6.2353])
"tensor(0.6825, device='cuda:0')",tensor([-6.1569])
"tensor(0.6846, device='cuda:0')",tensor([-6.0784])
"tensor(0.6867, device='cuda:0')",tensor([-6.])
"tensor(0.6888, device='cuda:0')",tensor([-5.9216])
"tensor(0.6909, device='cuda:0')",tensor([-5.8431])
"tensor(0.6931, device='cuda:0')",tensor([-5.7647])
"tensor(0.6952, device='cuda:0')",tensor([-5.6863])
"tensor(0.6974, device='cuda:0')",tensor([-5.6078])
"tensor(0.6997, device='cuda:0')",tensor([-5.5294])
"tensor(0.7019, device='cuda:0')",tensor([-5.4510])
"tensor(0.7042, device='cuda:0')",tensor([-5.3725])
"tensor(0.7065, device='cuda:0')",tensor([-5.2941])
"tensor(0.7088, device='cuda:0')",tensor([-5.2157])
"tensor(0.7112, device='cuda:0')",tensor([-5.1373])
"tensor(0.7136, device='cuda:0')",tensor([-5.0588])
"tensor(0.7160, device='cuda:0')",tensor([-4.9804])
"tensor(0.7184, device='cuda:0')",tensor([-4.9020])
"tensor(0.7209, device='cuda:0')",tensor([-4.8235])
"tensor(0.7233, device='cuda:0')",tensor([-4.7451])
"tensor(0.7258, device='cuda:0')",tensor([-4.6667])
"tensor(0.7284, device='cuda:0')",tensor([-4.5882])
"tensor(0.7309, device='cuda:0')",tensor([-4.5098])
"tensor(0.7335, device='cuda:0')",tensor([-4.4314])
"tensor(0.7360, device='cuda:0')",tensor([-4.3529])
"tensor(0.7387, device='cuda:0')",tensor([-4.2745])
"tensor(0.7413, device='cuda:0')",tensor([-4.1961])
"tensor(0.7439, device='cuda:0')",tensor([-4.1176])
"tensor(0.7466, device='cuda:0')",tensor([-4.0392])
"tensor(0.7493, device='cuda:0')",tensor([-3.9608])
"tensor(0.7520, device='cuda:0')",tensor([-3.8824])
"tensor(0.7547, device='cuda:0')",tensor([-3.8039])
"tensor(0.7574, device='cuda:0')",tensor([-3.7255])
"tensor(0.7602, device='cuda:0')",tensor([-3.6471])
"tensor(0.7630, device='cuda:0')",tensor([-3.5686])
"tensor(0.7657, device='cuda:0')",tensor([-3.4902])
"tensor(0.7686, device='cuda:0')",tensor([-3.4118])
"tensor(0.7714, device='cuda:0')",tensor([-3.3333])
"tensor(0.7742, device='cuda:0')",tensor([-3.2549])
"tensor(0.7771, device='cuda:0')",tensor([-3.1765])
"tensor(0.7799, device='cuda:0')",tensor([-3.0980])
"tensor(0.7828, device='cuda:0')",tensor([-3.0196])
"tensor(0.7857, device='cuda:0')",tensor([-2.9412])
"tensor(0.7886, device='cuda:0')",tensor([-2.8627])
"tensor(0.7915, device='cuda:0')",tensor([-2.7843])
"tensor(0.7944, device='cuda:0')",tensor([-2.7059])
"tensor(0.7974, device='cuda:0')",tensor([-2.6275])
"tensor(0.8003, device='cuda:0')",tensor([-2.5490])
"tensor(0.8032, device='cuda:0')",tensor([-2.4706])
"tensor(0.8062, device='cuda:0')",tensor([-2.3922])
"tensor(0.8092, device='cuda:0')",tensor([-2.3137])
"tensor(0.8121, device='cuda:0')",tensor([-2.2353])
"tensor(0.8151, device='cuda:0')",tensor([-2.1569])
"tensor(0.8181, device='cuda:0')",tensor([-2.0784])
"tensor(0.8211, device='cuda:0')",tensor([-2.])
"tensor(0.8241, device='cuda:0')",tensor([-1.9216])
"tensor(0.8271, device='cuda:0')",tensor([-1.8431])
"tensor(0.8301, device='cuda:0')",tensor([-1.7647])
"tensor(0.8331, device='cuda:0')",tensor([-1.6863])
"tensor(0.8361, device='cuda:0')",tensor([-1.6078])
"tensor(0.8391, device='cuda:0')",tensor([-1.5294])
"tensor(0.8421, device='cuda:0')",tensor([-1.4510])
"tensor(0.8451, device='cuda:0')",tensor([-1.3725])
"tensor(0.8482, device='cuda:0')",tensor([-1.2941])
