"tensor(0.9359, device='cuda:0')",tensor([-1.6863])
"tensor(0.9385, device='cuda:0')",tensor([-1.6078])
"tensor(0.9410, device='cuda:0')",tensor([-1.5294])
"tensor(0.9435, device='cuda:0')",tensor([-1.4510])
"tensor(0.9459, device='cuda:0')",tensor([-1.3725])
"tensor(0.9483, device='cuda:0')",tensor([-1.2941])
"tensor(0.9507, device='cuda:0')",tensor([-1.2157])
"tensor(0.9531, device='cuda:0')",tensor([-1.1373])
"tensor(0.9555, device='cuda:0')",tensor([-1.0588])
"tensor(0.9578, device='cuda:0')",tensor([-0.9804])
"tensor(0.9600, device='cuda:0')",tensor([-0.9020])
"tensor(0.9623, device='cuda:0')",tensor([-0.8235])
"tensor(0.9645, device='cuda:0')",tensor([-0.7451])
"tensor(0.9667, device='cuda:0')",tensor([-0.6667])
"tensor(0.9689, device='cuda:0')",tensor([-0.5882])
"tensor(0.9710, device='cuda:0')",tensor([-0.5098])
"tensor(0.9731, device='cuda:0')",tensor([-0.4314])
"tensor(0.9751, device='cuda:0')",tensor([-0.3529])
"tensor(0.9771, device='cuda:0')",tensor([-0.2745])
"tensor(0.9791, device='cuda:0')",tensor([-0.1961])
"tensor(0.9810, device='cuda:0')",tensor([-0.1176])
"tensor(0.9829, device='cuda:0')",tensor([-0.0392])
"tensor(0.9847, device='cuda:0')",tensor([0.0392])
"tensor(0.9866, device='cuda:0')",tensor([0.1176])
"tensor(0.9883, device='cuda:0')",tensor([0.1961])
"tensor(0.9901, device='cuda:0')",tensor([0.2745])
"tensor(0.9917, device='cuda:0')",tensor([0.3529])
"tensor(0.9934, device='cuda:0')",tensor([0.4314])
"tensor(0.9950, device='cuda:0')",tensor([0.5098])
"tensor(0.9966, device='cuda:0')",tensor([0.5882])
"tensor(0.9981, device='cuda:0')",tensor([0.6667])
"tensor(0.9995, device='cuda:0')",tensor([0.7451])
"tensor(1.0010, device='cuda:0')",tensor([0.8235])
"tensor(1.0023, device='cuda:0')",tensor([0.9020])
"tensor(1.0037, device='cuda:0')",tensor([0.9804])
"tensor(1.0050, device='cuda:0')",tensor([1.0588])
"tensor(1.0062, device='cuda:0')",tensor([1.1373])
"tensor(1.0074, device='cuda:0')",tensor([1.2157])
"tensor(1.0085, device='cuda:0')",tensor([1.2941])
"tensor(1.0096, device='cuda:0')",tensor([1.3725])
"tensor(1.0107, device='cuda:0')",tensor([1.4510])
"tensor(1.0117, device='cuda:0')",tensor([1.5294])
"tensor(1.0126, device='cuda:0')",tensor([1.6078])
"tensor(1.0135, device='cuda:0')",tensor([1.6863])
"tensor(1.0144, device='cuda:0')",tensor([1.7647])
"tensor(1.0152, device='cuda:0')",tensor([1.8431])
"tensor(1.0160, device='cuda:0')",tensor([1.9216])
"tensor(1.0167, device='cuda:0')",tensor([2.])
"tensor(1.0173, device='cuda:0')",tensor([2.0784])
"tensor(1.0179, device='cuda:0')",tensor([2.1569])
"tensor(1.0185, device='cuda:0')",tensor([2.2353])
"tensor(1.0190, device='cuda:0')",tensor([2.3137])
"tensor(1.0194, device='cuda:0')",tensor([2.3922])
"tensor(1.0199, device='cuda:0')",tensor([2.4706])
"tensor(1.0202, device='cuda:0')",tensor([2.5490])
"tensor(1.0205, device='cuda:0')",tensor([2.6275])
"tensor(1.0208, device='cuda:0')",tensor([2.7059])
"tensor(1.0210, device='cuda:0')",tensor([2.7843])
"tensor(1.0211, device='cuda:0')",tensor([2.8627])
"tensor(1.0212, device='cuda:0')",tensor([2.9412])
"tensor(1.0213, device='cuda:0')",tensor([3.0196])
"tensor(1.0213, device='cuda:0')",tensor([3.0980])
"tensor(1.0212, device='cuda:0')",tensor([3.1765])
"tensor(1.0211, device='cuda:0')",tensor([3.2549])
"tensor(1.0210, device='cuda:0')",tensor([3.3333])
"tensor(1.0208, device='cuda:0')",tensor([3.4118])
"tensor(1.0206, device='cuda:0')",tensor([3.4902])
"tensor(1.0203, device='cuda:0')",tensor([3.5686])
"tensor(1.0199, device='cuda:0')",tensor([3.6471])
"tensor(1.0195, device='cuda:0')",tensor([3.7255])
"tensor(1.0191, device='cuda:0')",tensor([3.8039])
"tensor(1.0186, device='cuda:0')",tensor([3.8824])
"tensor(1.0180, device='cuda:0')",tensor([3.9608])
"tensor(1.0174, device='cuda:0')",tensor([4.0392])
"tensor(1.0168, device='cuda:0')",tensor([4.1176])
"tensor(1.0161, device='cuda:0')",tensor([4.1961])
"tensor(1.0153, device='cuda:0')",tensor([4.2745])
"tensor(1.0145, device='cuda:0')",tensor([4.3529])
